speaker_id,source_dataset,lang,age_group_raw,gender,region_state,region_district,recording_date,device
S4257199500343532,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4257206500331528,indicvoices_r_hindi,hi,60+,Male,Uttar Pradesh,Sonbhadra,,
S4257208000346467,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4257208700325289,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4257210000350170,indicvoices_r_hindi,hi,18-30,Male,Bihar,Darbhanga,,
S4257226100388360,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Katni,,
S4257283900376625,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jaipur,,
S4257284800322045,indicvoices_r_hindi,hi,60+,Female,Rajasthan,Jodhpur,,
S4257286600320309,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4257289800388095,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Bhopal,,
S4257293800324707,indicvoices_r_hindi,hi,60+,Female,Madhya Pradesh,Bhopal,,
S4257294100372066,indicvoices_r_hindi,hi,60+,Male,Madhya Pradesh,Balaghat,,
S4257339500362550,indicvoices_r_hindi,hi,60+,Female,Madhya Pradesh,Balaghat,,
S4257371000377309,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4257381100339771,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jaipur,,
S4257381600378159,indicvoices_r_hindi,hi,30-45,Male,Bihar,Darbhanga,,
S4257403900309143,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4257408200369070,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4257414200330443,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jaipur,,
S4257460700320419,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Jaipur,,
S4257481100329795,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Balaghat,,
S4257500400373192,indicvoices_r_hindi,hi,45-60,Female,Uttar Pradesh,Sonbhadra,,
S4257501400381618,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4257509800382215,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4257517900337176,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4257518800304357,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4257576200335054,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Mirzapur,,
S4257586900385067,indicvoices_r_hindi,hi,60+,Female,Rajasthan,Jodhpur,,
S4257592300373204,indicvoices_r_hindi,hi,45-60,Female,Uttar Pradesh,Mirzapur,,
S4257596300380200,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jaipur,,
S4257634500356962,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4257663700307299,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Bhopal,,
S4257664000308099,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Bhadohi,,
S4257680600327731,indicvoices_r_hindi,hi,45-60,Female,Uttar Pradesh,Mirzapur,,
S4257681600365936,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4257682000328177,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Bhadohi,,
S4257682800338710,indicvoices_r_hindi,hi,30-45,Male,Bihar,Darbhanga,,
S4257685400307612,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4257687400308750,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4257702700387160,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jaipur,,
S4257702700387163,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jaipur,,
S4257706500388171,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jaipur,,
S4257709800347002,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Jabalpur,,
S4257714900396319,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jaipur,,
S4257725500398023,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4257734500388634,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jaipur,,
S4257745400388353,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jaipur,,
S4257747300394320,indicvoices_r_hindi,hi,60+,Male,Madhya Pradesh,Bhopal,,
S4257748700380111,indicvoices_r_hindi,hi,30-45,Male,Bihar,Darbhanga,,
S4257749600390597,indicvoices_r_hindi,hi,30-45,Male,Bihar,Darbhanga,,
S4257749900394111,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4257761400336421,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Bhadohi,,
S4257764100396161,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jaipur,,
S4257788300389915,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4257790700335697,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Karauli,,
S4257795600394306,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Bhopal,,
S4257825000349845,indicvoices_r_hindi,hi,60+,Female,Madhya Pradesh,Bhopal,,
S4257825900397102,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4257828200397910,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4257832400349909,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4257836200393102,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jaipur,,
S4257836200397027,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Bhopal,,
S4257841000300631,indicvoices_r_hindi,hi,60+,Male,Uttar Pradesh,Sonbhadra,,
S4257858300380930,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Mirzapur,,
S4257861000397545,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4257862500397675,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4257875900397838,indicvoices_r_hindi,hi,60+,Female,Madhya Pradesh,Balaghat,,
S4257895500350870,indicvoices_r_hindi,hi,30-45,Male,Madhya Pradesh,Bhopal,,
S4257903700333412,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4257909200399183,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4257919500391950,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4257920600367202,indicvoices_r_hindi,hi,30-45,Male,Madhya Pradesh,Balaghat,,
S4257925500367551,indicvoices_r_hindi,hi,30-45,Male,Madhya Pradesh,Balaghat,,
S4257945900388837,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Bhopal,,
S4257960900388164,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Katni,,
S4257994700334001,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Mirzapur,,
S4257999800332154,indicvoices_r_hindi,hi,45-60,Male,Uttar Pradesh,Sonbhadra,,
S4257999900326009,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4258000500354303,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jaipur,,
S4258004600303866,indicvoices_r_hindi,hi,60+,Female,Rajasthan,Jaipur,,
S4258012700313523,indicvoices_r_hindi,hi,60+,Female,Madhya Pradesh,Bhopal,,
S4258013900319465,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4258017800395332,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4258036800318829,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Bhopal,,
S4258037700332736,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4258040800332887,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4258047800335301,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Bhopal,,
S4258049600362784,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Bhopal,,
S4258050400305021,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4258051600317467,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jaipur,,
S4258053400300708,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jodhpur,,
S4258055000333034,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4258062900300355,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jaipur,,
S4258063700395088,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jodhpur,,
S4258081100377592,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Bhadohi,,
S4258086200388317,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Mirzapur,,
S4258093700352063,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4258095000395503,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4258098100305329,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jaipur,,
S4258098200313340,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4258108100357702,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Bhopal,,
S4258165200338413,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4258165300369904,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4258195400338603,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Sonbhadra,,
S4258214800384862,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4258215300317906,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Sonbhadra,,
S4258238900384707,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Karauli,,
S4258246700387113,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Katni,,
S4258253500349747,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4258262800387709,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Jabalpur,,
S4258270900343079,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Mirzapur,,
S4258276300387945,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Gwalior,,
S4258293900387088,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4258294400387536,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Gwalior,,
S4258295900338426,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4258296600384156,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4258309900342522,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jodhpur,,
S4258341000389394,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Gwalior,,
S4258355700345279,indicvoices_r_hindi,hi,60+,Female,Madhya Pradesh,Bhopal,,
S4258369300345887,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Balaghat,,
S4258383600323788,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4258388700342897,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4258400200356334,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4258404500360406,indicvoices_r_hindi,hi,30-45,Male,Madhya Pradesh,Katni,,
S4258409600353284,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4258425400339510,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Jabalpur,,
S4258457700380092,indicvoices_r_hindi,hi,45-60,Female,Uttar Pradesh,Mirzapur,,
S4258459200399366,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4258472800314837,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4258483200352405,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Bhadohi,,
S4258483800353049,indicvoices_r_hindi,hi,45-60,Female,Uttar Pradesh,Sonbhadra,,
S4258484600339678,indicvoices_r_hindi,hi,60+,Male,Madhya Pradesh,Bhopal,,
S4258485900396451,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4258501900382273,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4258506200384835,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jaipur,,
S4258566000397099,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4258578100397361,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4258580500322039,indicvoices_r_hindi,hi,18-30,Male,Bihar,Darbhanga,,
S4258588000388560,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4258601500376021,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jaipur,,
S4258609300350377,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jaipur,,
S4258636100329319,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4258641800392532,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4258647300379175,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jaipur,,
S4258659000338170,indicvoices_r_hindi,hi,60+,Female,Rajasthan,Jaipur,,
S4258663600329051,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4258691000379396,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4258707300341769,indicvoices_r_hindi,hi,45-60,Male,Uttar Pradesh,Sonbhadra,,
S4258730400385116,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jaipur,,
S4258783600385887,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jaipur,,
S4258783800315889,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4258796500385594,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Karauli,,
S4258798600370584,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Gwalior,,
S4258806300377514,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Bhadohi,,
S4258809800389158,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Bhopal,,
S4258819100399698,indicvoices_r_hindi,hi,60+,Male,Madhya Pradesh,Balaghat,,
S4258827400305876,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Jabalpur,,
S4258829300392036,indicvoices_r_hindi,hi,30-45,Male,Madhya Pradesh,Bhopal,,
S4258832000305701,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Gwalior,,
S4258843700399881,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4258855600301775,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4258881900332673,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Bhadohi,,
S4258898400392676,indicvoices_r_hindi,hi,45-60,Female,Uttar Pradesh,Sonbhadra,,
S4258899900335992,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jaipur,,
S4258900700351991,indicvoices_r_hindi,hi,30-45,Male,Bihar,Darbhanga,,
S4258911800300494,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4258912400304086,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4258923800304669,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Karauli,,
S4258929200326891,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jodhpur,,
S4258935500380746,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4258938400366275,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Karauli,,
S4258952400380892,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4258961300366704,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4259010700319043,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Balaghat,,
S4259015500301215,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4259027400309283,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Bhopal,,
S4259033000335355,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Sonbhadra,,
S4259039700335334,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4259052200346228,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Balaghat,,
S4259062200386755,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Bhopal,,
S4259064400359867,indicvoices_r_hindi,hi,60+,Female,Rajasthan,Jodhpur,,
S4259070600346303,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Balaghat,,
S4259113400344096,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jaipur,,
S4259133900311123,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Bhopal,,
S4259138800367594,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Katni,,
S4259144400367995,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Bhopal,,
S4259147600324769,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4259161000318976,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Mirzapur,,
S4259179700326363,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4259186300376631,indicvoices_r_hindi,hi,18-30,Male,Bihar,Darbhanga,,
S4259188700343561,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Karauli,,
S4259197900310275,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Sonbhadra,,
S4259198300329839,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jaipur,,
S4259199200352358,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Bhadohi,,
S4259206300345231,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4259206400388468,indicvoices_r_hindi,hi,60+,Female,Rajasthan,Jaipur,,
S4259207600345604,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Gwalior,,
S4259209800345760,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Bhopal,,
S4259215400345765,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Gwalior,,
S4259222300398410,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Jodhpur,,
S4259225400315361,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Sonbhadra,,
S4259230800304833,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jaipur,,
S4259234000398521,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jodhpur,,
S4259234300389121,indicvoices_r_hindi,hi,60+,Female,Rajasthan,Jodhpur,,
S4259234800359831,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4259235000396470,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Bhopal,,
S4259240900388723,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Karauli,,
S4259256500389474,indicvoices_r_hindi,hi,60+,Female,Rajasthan,Jaipur,,
S4259257200319095,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Mirzapur,,
S4259265700388517,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jaipur,,
S4259270000387893,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4259271600387264,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4259276500304513,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Karauli,,
S4259278000388808,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4259290200345836,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4259290600339294,indicvoices_r_hindi,hi,18-30,Other,Madhya Pradesh,Balaghat,,
S4259306000311429,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Bhopal,,
S4259313100388348,indicvoices_r_hindi,hi,45-60,Male,Uttar Pradesh,Sonbhadra,,
S4259316300336749,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4259331100309623,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Balaghat,,
S4259335600348828,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4259344200311535,indicvoices_r_hindi,hi,60+,Male,Madhya Pradesh,Balaghat,,
S4259356100348887,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4259358100336518,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4259366400336105,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Sonbhadra,,
S4259373200311074,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Bhopal,,
S4259373200337061,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4259390600311126,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4259395700315089,indicvoices_r_hindi,hi,18-30,Male,Bihar,Darbhanga,,
S4259410600330024,indicvoices_r_hindi,hi,60+,Female,Madhya Pradesh,Balaghat,,
S4259423000359609,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4259447400330372,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4259462700304210,indicvoices_r_hindi,hi,45-60,Male,Uttar Pradesh,Mirzapur,,
S4259465500359288,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4259469000359339,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4259489000368812,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Mirzapur,,
S4259494800310535,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4259501000331701,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Jaipur,,
S4259502400390447,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jodhpur,,
S4259507700355794,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4259510900331386,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4259512500363904,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Mirzapur,,
S4259528300390784,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Jaipur,,
S4259529700390036,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4259529900332425,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4259534900327664,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4259538500355508,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Mirzapur,,
S4259555300331254,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jodhpur,,
